name,desc,lat,lon
100 Men Hall,"<img src=""https://lh3.googleusercontent.com/umsh/AN6v0v7iw9Bt7ojmpJx7JCLMXvShn0JALPzG3TKGhU8CSfHJC4awczXlmgxWQUHqteG2ld08xhrFWcqcMVgpd4b8JeXTjzpTjSm9ZIdyqoNya2wLv3gL89Hq_eiWl7dNBp5mbVVKIGejOcY"" height=""200"" width=""auto"" /><br><br>The 100 Men D.B.A. Hall, a longtime center of African American social life and entertainment, was built in 1922 by the One Hundred Members’ Debating Benevolent Association. Over the years the association sponsored many events and also rented the hall to promoters who brought in blues, rhythm & blues, and jazz acts. Local residents have recalled performances by Etta James, Big Joe Turner, Guitar Slim, Irma Thomas, Professor Longhair, Ernie K-Doe, Deacon John, Earl King, and numerous others here.<br><br>Visit the Mississippi Blues Trail (http://www.msbluestrail.org/blues_trail/) to learn more about this marker and the rest of the Blues Trail.<br><br>All content © Mississippi Blues Commission 2011",30.309453,-89.334879
61 Highway,"<img src=""https://lh3.googleusercontent.com/umsh/AN6v0v7IiZDT7KMxkeAfXC-xEP8AwrGnYSLwOzFs73CFV0XK4FpwMSa0eKgdhFVsXg8wMfZQfyayso6Ys1Rv0x7s0ivGF8R4oI060ibNa06zT9sBjuO_12Vfku_o4-bu-t9qzdVZtFoh_WSnRb_fzp5baEGV"" height=""200"" width=""auto"" /><br><br>The rise of the automobile and the development of a national highway system in the 1920s and ‘30s coincided with the initial boom of blues, jazz, and spiritual recordings by African American artists. Songs in the African American tradition about riverboats, trains, and railroads were soon complemented by records about highways, cars, and buses. The most prominent highway in blues lore was U.S. Highway 61 – or “61 Highway,” as it was often called in decades past.<br><br>Visit the Mississippi Blues Trail (http://www.msbluestrail.org/blues_trail/) to learn more about this marker and the rest of the Blues Trail.<br><br>All content © Mississippi Blues Commission 2011",32.353091,-90.881481
Abbay & Leatherman,"<img src=""https://lh3.googleusercontent.com/umsh/AN6v0v42b-T4b2P9tvfbDgTpbDUrtLrIs2VPVSzh2yG9ifPKHOLOT9Ax21SYyiQt43KFqBFvynr9536wwIhM9XjhL6982Uo8dsYxxNikI42Qn6y839AHQ-UVoYqByX3qOXDYNJeNUAc7gJpbY20x"" height=""200"" width=""auto"" /><br><br>Abbay & Leatherman, one of the oldest and largest cotton plantations in the Delta, is known to music enthusiasts worldwide as the boyhood home of blues icon Robert Johnson (c. 1912-1938). Johnson lived here with his family in a tenant shack by the levee during the 1920s. The powerful and impassioned recordings he made in 1936-37 are often cited as the foundation of rock ‘n’ roll, and the facts, fantasies, and mysteries of his life and death are a continuing source of intrigue.<br><br>Visit the Mississippi Blues Trail (http://www.msbluestrail.org/blues_trail/) to learn more about this marker and the rest of the Blues Trail.<br><br>All content © Mississippi Blues Commission 2011",34.817186,-90.36757
Aberdeen Miss. Blues,"<img src=""https://lh3.googleusercontent.com/umsh/AN6v0v4OUkiJ5ABT-vQMO48q4nIYZaR19HVz-B26feCiilaDCaBtTJtl7VTUqbrZQwlv8QyW77ccWhe6VWrnSnrnDGBZ7UAAAae1vWJ-Hp2vwy05PCQzd2Jdpol9wkaIY1uq1UqHDg"" height=""200"" width=""auto"" /><br><br>In 1940 singer-guitarist Booker “Bukka” White, who lived in Aberdeen during the 1920s and ‘30s, recorded the blues classic “Aberdeen Mississippi Blues.” Twenty-three years later the song’s title enabled blues researchers to relocate White, who subsequently resumed his recording career. According to Social Security records two of the most influential blues artists of all time, Chester Arthur “Howlin’ Wolf” Burnett and Albert King, claimed Aberdeen as their birthplace.<br><br>Visit the Mississippi Blues Trail (http://www.msbluestrail.org/blues_trail/) to learn more about this marker and the rest of the Blues Trail.<br><br>All content © Mississippi Blues Commission 2011",33.825533,-88.543738
Ace Records,"<img src=""https://lh3.googleusercontent.com/umsh/AN6v0v4BotnCsPlTO_x9GMPE7IUGgLXmJMFyM5-ae4OmsVCif4prBqyoald0IXE1bldGje2p4-L93WFGgSJUdJTV040Kex9apgnjmYZJbDzRIFAVmFRdAeriN0OUYRwzWSItjgeEsFYYfeg"" height=""200"" width=""auto"" /><br><br>Ace Records, founded in 1955 by Johnny Vincent (1925-2000), was the most successful Mississippi-based label of the 1950s and 1960s. Ace’s extensive catalog of blues, R&B, pop, rock, and soul included records by Mississippi blues artists Arthur Crudup, Sam Myers, King Edward, Pat Brown, and Willie Clayton, as well as hit singles by Louisiana singers Jimmy Clanton, Frankie Ford, Huey “Piano” Smith, and Earl King. Ace was based for many years on this block of West Capitol Street.<br><br>Visit the Mississippi Blues Trail (http://www.msbluestrail.org/blues_trail/) to learn more about this marker and the rest of the Blues Trail.<br><br>All content © Mississippi Blues Commission 2011",32.300424,-90.189729
Alamo Theatre and Dorothy Moore,"<img src=""https://lh3.googleusercontent.com/umsh/AN6v0v61LGoaUTGxMH3gLTIwp9lJcJGURNMLayjlHnmJ0Y_mLofxgcZkImvRmnGsd8iQ4bPChMcjgQUZFjNDZqYPuAgww6Z5eABlpiuv_2NvpEJbRi59W4SHGZ3YtHDJnLCEdZy0V7zah9fRntd-LvwE"" height=""200"" width=""auto"" /><br><br>Local resident Dorothy Moore’s many victories at Alamo talent contests ultimately led to a successful recording career.<br><br>Visit the Mississippi Blues Trail (http://www.msbluestrail.org/blues_trail/) to learn more about this marker and the rest of the Blues Trail.<br><br>All content © Mississippi Blues Commission 2011",32.304141,-90.188629
Albert King,"<img src=""https://lh3.googleusercontent.com/umsh/AN6v0v5I6u_5rtiFvxzvdI80AspcYvccvHk7szfEsEW1um4Svp4DXzs1RlTh0tnYKU3ADGWoHC248GYOb7-fzK_dTSJWHRvZwDANn7vBEls46sYskfDqIAnWD3_UH-O9-df-Db8c-HzlSrk"" height=""200"" width=""auto"" /><br><br>Albert King (1923-1992), who was billed as ""King of the Blues Guitar,"" was famed for his powerful string-bending style as well as for his soulful, smoky vocals. King often said he was born in Indianola and was a half-brother of B. B. King, although the scant surviving official documentation suggests otherwise on both counts. King carved his own indelible niche in the blues hierarchy by creating a deep, dramatic sound that was widely imitated by both blues and rock guitarists.<br><br>Visit the Mississippi Blues Trail (http://www.msbluestrail.org/blues_trail/) to learn more about this marker and the rest of the Blues Trail.<br><br>All content © Mississippi Blues Commission 2012",33.451238,-90.651365
Alligator Blues,"<img src=""https://lh3.googleusercontent.com/umsh/AN6v0v7DCb87NoAQY4hjlbLlLibcQbhSfR2CjX7nAAT0jWRcbX8dTdd8ggNMK0Tr41DeFJwH93nPjUDuDEFBuomQnjo16gnAHi2b-tohhX8kkGC65XQvpvwNjvfrDvjzlGk13QMerw"" height=""200"" width=""auto"" /><br><br>Highway 61, ""the blues highway,"" is lined with the birthplaces of blues, R&B, and gospel artists all along its route in Mississippi, and even small communities such as Alligator share in this proud musical legacy. Performers born or raised around Alligator include blues guitarists George ""G. P."" Jackson and Robert ""Bilbo"" Walker, singer Johnny Drummer (Thessex Johns), and the gospel and R&B group the Kelly Brothers. Delta blues icon Robert Johnson also lived in this area in 1930.",34.089974,-90.71959
"Amory, Mississippi: Blues from a Railroad Town","This marker will be unveiled on November 23rd, 2019. Just as Amory’s history is tied to the railroad, so is much of its musical legacy. Several generations of blues, soul and gospel performers came from the families of African-American workers employed here by the Frisco line. Others worked as sharecroppers or for local businesses. Lucille Bogan was a prominent blues recording artist in the 1920s and ‘30s, and other Amory performers have included Frank Swan, James Whitfield, Roger and Dudley McKinney, the Top Hats, Al Rachel, and Michael Freeman.",33.9892307,-88.4908475
"Arthur ""Big Boy"" Crudup","<img src=""https://lh3.googleusercontent.com/umsh/AN6v0v6ZJpE0UAQtSy2LTth8INqjMhod5CmSxnAS2XglWek9X2TQM6QWlV0kotrAc4rqpdwZNFX8nvhZsZF5XQeSFyl5OmNp1WnFWwsDQe1xgckmpTDwi369TZ4XBTWhh51yEBrVVpVx40t4"" height=""200"" width=""auto"" /><br><br>Arthur “Big Boy” Crudup, one of the most prominent blues recording artists of the 1940s, was born on his grandparents' land in Forest on August 24, 1905. After Elvis Presley recorded three Crudup songs in the 1950s, Crudup became known as “The Father of Rock 'n' Roll.” Despite the commercial success of his songs, Crudup was never fairly paid for the music he composed and recorded, and had to work as a laborer or bus driver to support his family. He died on March 28, 1974.<br><br>Visit the Mississippi Blues Trail (http://www.msbluestrail.org/blues_trail/) to learn more about this marker and the rest of the Blues Trail.<br><br>All content © Mississippi Blues Commission 2011",32.364358,-89.478638
